n_commits,nome,localidade
5,AhmadA.Hussein,
5,AlexeyBoriskin,
5,AndersonResende,
5,AndreuVallbona,
5,AndrewBrown,
5,AndrewMiller,
5,AndréEricson,
5,AntoineCatton,
5,AsifSaifuddinAuvi,
5,BaptisteDarthenay,
5,BenDavis,
5,BenjaminBach,
5,CHICheng,
5,ChinmoyChakraborty,
5,ChrisMuthig,
5,ChristopheHenry,
5,DavidFischer,
5,DavidHoffman,
5,DavidSzotten,
5,DenisCornehl,
5,DmitryMedvinsky,
5,DominicRodger,
5,FabioSangiovanni,
5,FrankWiles,
5,GabeJackson,
5,GeorgiYanchev,
5,Hasan,
5,JanPieterWaagmeester,
5,JarosławWygoda,
5,JasonMyers,
5,JeremyDunck,
5,JeremyLainé,
5,Jozef,
5,KevinMichel,
5,KrzysztofUrbaniak,
5,MarcGarcia,
5,MartinMatusiak,
5,MaryamYusuf,
5,MattWestcott,
5,MatthewWilkes,
5,MichaelAngeletti,
5,MikeFogel,
5,NicolasDelaby,
5,PatrykZawadzki,
5,PiotrJakimiak,
5,RigelDiScala,
5,Rob,
5,RyanCheley,
5,RyanKaskel,
5,SarahAbderemane,
5,SergeiMaertens,
5,SergeyKolosov,
5,StephanJaekel,
5,StephenBurrows,
5,Taoup,
5,TianyiWang,
5,TimHeap,
5,TimMartin,
5,TimPark,
5,TomaszWysocki,
5,VarunSharma,
5,ZanAnderle,
5,akki,
5,e0ne,
5,evildmp,
5,matiasb,
5,mlavin,
5,saJaeHyukc,
5,saeedblanchette,
5,tim-mccurrach,
5,zeyneloz,
5,ÉricAraujo,
4,007gzs,
4,Abhyudai,
4,AdamAlton,
4,AdamDonaghy,
4,AdonysAleaBoffill,
4,AkisKesoglou,
4,AlexAktsipetrov,
4,AmirKarimi,
4,AndrewGorcester,
4,AndrewNorthall,
4,AndrewPinkham,
4,Bakdolot,
4,BenjaminWohlwend,
4,BotondBeres,
4,BradSolomon,
4,BryanMarty,
4,CharlieDenton,
4,ChristopherAdams,
4,CodyScott,
4,DanWatson,
4,DavidBeitey,
4,DavidEvans,
4,DraženOdobašić,
4,FlorianDemmer,
4,FlávioJuvenal,
4,FrantisekHolop,
4,HarmGeerts,
4,HenryDang,
4,IainDawson,
4,IanWilson,
4,IngoKlöcker,
4,JamesAylett,
4,JonnyPark,
4,KlaasvanSchelven,
4,KonradŚwiat,
4,KrzysztofGogolewski,
4,LaurentTramoy,
4,LoekvanGent,
4,MarcEgli,
4,MarcGibbons,
4,Mariana,
4,MattBlack85,
4,Mehrdad,
4,MichaelBlatherwick,
4,MikeLissner,
4,NadègeMichel,
4,NealTodd,
4,NeerajKumar,
4,NikitaSobolev,
4,OsaetinDaniel,
4,PabloMouzo,
4,PawełMarczewski,
4,PhilippBosch,
4,RaphaëlHertzog,
4,RichardEames,
4,RinatKhabibiev,
4,RohithPR,
4,ShreyaBamne,
4,SilvanSpross,
4,SjoerdJobPostmus,
4,SrinivasReddyThatiparthy(శ్రీనివాస్రెడ్డితాటిపర్తి),
4,StefanBrand,
4,SylvainFankhauser,
4,SébastienFievet,
4,ThomasGüttler,
4,ThomasTanner,
4,VaarunSinha,
4,VincenzoPandolfo,
4,WillemVanOnsem,
4,WuHaotian,
4,YashSaini,
4,YohanBoniface,
4,YusukeMiyazaki,
4,aryan,
4,ersran9,
4,hesham942,
4,maurycyp,
4,nabil-rady,
4,orlnub123,
4,sobolevn,
3,AbhayaAgarwal,
3,AdamBogdał,
3,AlexMorega,
3,AlexdeLandgraaf,
3,AlexanderHolmbäck,
3,AlexanderSosnovskiy,
3,AlvinLindstam,
3,AndersHovmöller,
3,AndreiAntoukh,
3,Andrew,
3,AndrewKuchev,
3,AnthonyJoseph,
3,AntonDanilchenko,
3,AntonI.Sipos,
3,Anv3sh,
3,ArkadiuszAdamski,
3,AronPodrigal,
3,ArturBeltsov,
3,AtulVarma,
3,AviralDasgupta,
3,BasWesterbaan,
3,BenSpaulding,
3,BenjyWeinberger,
3,BojanMihelac,
3,BradWalker,
3,BrunoRenié,
3,BryanVeloso,
3,CarlWorth,
3,CarlesPinaEstany,
3,ChillarAnand,
3,ChristopherLuc,
3,DanSwain,
3,DanielFairhead,
3,DanielIzquierdo,
3,DanieleVarrazzo,
3,DavidGibbons,
3,DavidVaz,
3,DejanNoveski,
3,DevinCox,
3,Dhanush,
3,DheerendraRathor,
3,DuaneHilton,
3,DurvalCarvalho,
3,EminMastizada,
3,EricRouleau,
3,EtienneChové,
3,ÉtienneBeaulé,
3,FabrizioEttoreMessina,
3,FedericoJaramilloMartínez,
3,FelipeLee,
3,FlorisdenHengst,
3,FranciscoCouzo,
3,GabbyPrecious,
3,GabrielMuñumel,
3,GappleBee,
3,GeorgeMarshall,
3,GiannisAdamopoulos,
3,Giebisch,
3,GrzegorzNosek,
3,GrzegorzSlusarek,
3,GuillaumePannatier,
3,HarryMoreno,
3,HorstGutmann,
3,HugoOsvaldoBarrera,
3,JacekBzdak,
3,JackCushman,
3,JacobBurch,
3,JakubGocławski,
3,JamesBeith,
3,JanBednařík,
3,JanSzoja,
3,JeremySatterfield,
3,JeroenDekkers,
3,JezenielZapanta,
3,JoeriBekker,
3,JohannesDollinger,
3,John-ScottAtlakson,
3,JonMoroney,
3,JonRibbens,
3,JordanBae,
3,JustinMichalicek,
3,KaiFeldhoff,
3,KetanBhatt,
3,KevinMarsh,
3,KonstantinAlekseev,
3,LexBerezhny,
3,Luoxzhg,
3,MalcolmBox,
3,ManatsawinHanmongkolchai,
3,MariaHynes,
3,MarkusBertheau,
3,MartinBlech,
3,MartinBrochhaus,
3,MatheusCunhaMotta,
3,MattiasLoverot,
3,Michael,
3,MichaelScott,
3,MichalČihař,
3,MichałGórny,
3,MichałModzelewski,
3,MichielBeijen,
3,MikeGrouchy,
3,MikeHansen,
3,MorganAubert,
3,MounirMesselmeni,
3,My-Name-Is-Nabil,
3,NickMartini,
3,NiclasOlofsson,
3,NicolasLupien,
3,NinaMenezes,
3,NotCarl,
3,OlexanderYermakov,
3,OliverSauder,
3,PavelDedik,
3,PavelSavchenko,
3,PetrasZdanavičius,
3,PhilipJames,
3,PietDelport,
3,PiotrKunicki,
3,PrabakaranKumaresshan,
3,RainerKoirikivi,
3,RamRachum,
3,RamilYanbulatov,
3,RaphaelGaschignard,
