n_commits,nome,localidade
1738,DavidLord,USA
1191,ArminRonacher,Austria
274,MarkusUnterwaditzer,Austria
122,RonDuPlain,USA
116,KennethReitz,USA
105,GreyLi,china
91,dependabot-preview[bot]
70,DanielNeuhäuser
61,dependabot[bot]
49,pgjones
48,DanielNeuhäuser,Germany
39,pre-commit-ci[bot]
36,KeyanPishdadian
25,HsiaomingYang
24,defuz
23,ThomasWaldmann
22,JeffWidman,USA
20,JoshuaBronson
18,SimonSapin
18,lord63
16,florentx
13,AdamByrtek
13,DagOdenhall,sweden
12,PetrZemek
12,PhilSchaf
12,ThiefMaster
11,Sven-HendrikHaase
9,AdrianMoennich
9,MattCooper
9,PriitLaes
8,AlexanderPantyukhin
8,EugeneM.Kim
8,INADANaoki,japan
8,KyleLawlor
8,RandyLiou
7,Adrian
7,FrankYu
7,MiguelGrinberg
7,TullyRankin
7,garenchan
6,AaronKavlie
6,AntonSarukhanov
6,ChrisRebert
6,DanielPope
6,DavidBaumgold
6,HendrikMakait
6,LowellAbbott
6,MattWright
6,Mieszko
6,PedroAlgarvio
6,mattswanson
5,AdamZapletal
5,AnthonyPlunkett
5,DanielHaaker
5,JimmyMcCarthy
5,JochenKupperschmidt,Germany
5,JustinQuick
5,MattCampbell
5,Max
5,MaximG.Ivanov
5,OriLivneh
5,RamiC
5,maxdemian
5,wgwz
4,AbhijeetKasurde
4,AlexCouper
4,AlexHedges
4,AntonioLarrosa
4,BruceSutherland
4,DiggoryBlake
4,DmitryShevchenko
4,EtiennePelletier
4,FND
4,HyunchelKim
4,KevinBurke
4,KevinKirsche
4,LeonardoGiordani
4,MaxCountryman
4,MikeTheReader
4,NedJacksonLovely
4,PedroTorcatt
4,cerickson
4,wilsaj
3,AlexVykalyuk
3,AndrewArendt
3,ChristopherGrebs
3,DaveBarker
3,DaveShawley
3,DilanCoss
3,FinbarrO'Callaghan
3,GabrielSaldanha
3,GeorgBrandl
3,IsaacTo
3,JarekPiórkowski
3,JeffreyFinkelstein
3,KissGyörgy
3,MarcAbramowitz
3,MartijnPieters
3,MichałBartoszkiewicz
3,NeilGrey
3,PaulMcMillan
3,PauloBu
3,ReneA.Zelaya
3,RonnyPfannschmidt
3,SebastienEstienne
3,SouryaVatsyayan
3,ThomasWaldmann
3,TonyNarlock
3,WinstonKouch
3,Yourun-Proger
3,ZevAverbach
3,ZhaoXiaohong
3,awsum
3,jackwardell
3,jgraeme
3,mvantellingen
3,wimglenn
2,AadiBajpai
2,AaronHall,MBA
2,Abdur-RahmaanJanhangeer
2,AkuKotkavuo
2,AlanHamlett
2,AlexKahan
2,AndrewPlummer
2,AnthonySottile
2,BenRousch
2,BenjaminDopplinger
2,BillMill
2,BobStevens
2,BrandonStafford
2,BrunoRocha
2,BryanStitt
2,Camilo
2,ChristianBecker
2,ChristianStade-Schuldt
2,ChristopherSu
2,ClenimarFilemon
2,ColinAdams
2,CoreyGoldberg
2,DanielOpitz
2,DanielQuinn
2,DouglasThor
2,EdBrannin
2,EdBurnett
2,ErikRose
2,Fadhel_Chaabane
2,FrédéricChapoton
2,GiampaoloEusebi
2,HenryKobin
2,IanConnolly
2,IvanIvaschenko
2,JamesFarrington
2,JamesSaryerwinnie
2,JannisLeidel
2,JarekLipski
2,JimRollenhagen
2,JohnMoutafis
2,JonS.Stumpf
2,JonahLawrence
2,JonasGröger
2,JonathanComo
2,JustinW.Flory
2,KevinYap
2,KyleWild
2,MaratSharafutdinov
2,MarianSigler
2,MarkSlater
2,MartinMichlmayr
2,MathiasJ.Hennig
2,MattDawson
2,MattIversen
2,MattRobenolt
2,MeViMo
2,Merlin
2,MichaelBikovitsky
2,MichaelRecachinas
2,MihirSingh
2,MikaelÅhlén
2,MitchellPeabody
2,NgalimSiregar
2,NickLuchsinger
2,NickPope
2,OliverBeattie
2,OndřejNový
2,PamelaFox
2,PascalCorpet
2,PaulBrown
2,PedroLourenço
2,PrachiShirishKhadke
2,RaphaelDeem
2,Resistor-git
2,RyanBackman
2,SeanVieira
2,ShipengFeng
2,StanislavBushuev
2,StephaneWirtel
2,TeryLim
2,TimoFurrer
2,TommasoAllevi
2,TorsteinKrauseJohansen
2,Vik
2,WangHaowei
2,WouterVanHemel
2,accraze
2,agentultra
2,bovarysme
2,cgrinds
2,chengkang
2,dawran6
2,default-303
2,ekoka
2,hankhank10
2,jab
2,jfinkels
2,jphilipsen05
2,laggardkernel
2,lecovi
2,mattc41190
2,ongopongo
2,tristanfisher
2,unknown
2,venus
2,xtreak
1,=
1,ABrooks
1,AaronSchumacher
1,AayushKasurde
1,Abhinav
1,AbhinavSagar
1,AdamChainz
1,AdamDangoor
1,AdamGeitgey
1,AdamJohnson
1,AdamObeng
1,AdamWalsh
1,AdarshSharma
1,Aditya
1,Afik
1,AfonsoQueirós
1,AkaiKitsune
1,AkbarIbrahim
1,AkinolaAbiodunEmmanuel
1,AksharRaaj
1,AlanSwenson
1,AlejandroManteconGuillen
1,AlexChan
1,AlexMorega
1,AlexPearce
1,AlexanderThaller
1,AlexeyShamrin
1,AlexisBenoist
1,AlexisMetaireau
1,AlexisSvinartchouk
1,AliAfshar
1,AliakseiUrbanski
1,AlySivji
1,AmeyaPandilwar
1,AmirrezaA
1,AndreWobst
1,Andrew
1,AndrewAsh
1,AndrewCrouse
1,AndrewJRoth
1,AndreyKislyuk
1,AndriiKolomoiets
1,AndyCraze
1,Angeline
1,AntoineCatton
1,AntoineMath
1,AntonI.Sipos
1,ArchieRoller
1,ArieMarie'Thomas'Dalleis
1,ArnavBorborah
